model_name,target_name,horizon,split_name,event_mode,episode_number,episode_start,episode_end,first_warning_date,hit,timing_months,timing_type,flagged_3m_ahead,flagged_6m_ahead,max_score_in_window,false_alarm_months_before_episode,false_alarm_streak_before_episode
ensemble_current_recession,current_recession,0,expanded_holdout,detect,1,2008-01-01,2009-06-01,2008-02-01,True,1.0,lag,False,False,0.7188123235066763,0,0
ensemble_current_recession,current_recession,0,expanded_holdout,detect,2,2020-03-01,2020-04-01,2020-03-01,True,0.0,lag,False,False,0.5471708620911557,57,57
ensemble_within_12m,within_12m,12,expanded_dynamic_holdout,forecast,1,2020-03-01,2020-04-01,2019-03-01,True,12.0,lead,True,True,0.598370744281028,8,8
ensemble_within_3m,within_3m,3,expanded_dynamic_holdout,forecast,1,2020-03-01,2020-04-01,,False,,lead,False,False,0.4416873346161464,0,0
ensemble_within_6m,within_6m,6,expanded_dynamic_holdout,forecast,1,2020-03-01,2020-04-01,2019-09-01,True,6.0,lead,True,True,0.5101465688079477,1,1
multivariate_logit_current_recession,current_recession,0,expanded_holdout,detect,1,2008-01-01,2009-06-01,2008-02-01,True,1.0,lag,False,False,0.9999816445410558,0,0
multivariate_logit_current_recession,current_recession,0,expanded_holdout,detect,2,2020-03-01,2020-04-01,2020-03-01,True,0.0,lag,False,False,0.9999999999999964,59,57
multivariate_logit_within_12m,within_12m,12,expanded_dynamic_holdout,forecast,1,2020-03-01,2020-04-01,2019-03-01,True,12.0,lead,True,True,0.9998169256039782,12,11
multivariate_logit_within_3m,within_3m,3,expanded_dynamic_holdout,forecast,1,2020-03-01,2020-04-01,2019-12-01,True,3.0,lead,True,False,0.8534402432705518,10,10
multivariate_logit_within_6m,within_6m,6,expanded_dynamic_holdout,forecast,1,2020-03-01,2020-04-01,2019-09-01,True,6.0,lead,True,True,0.9460744953770086,9,9
regularized_logit_current_recession,current_recession,0,expanded_holdout,detect,1,2008-01-01,2009-06-01,2008-12-01,True,11.0,lag,False,False,0.6675921384900593,0,0
regularized_logit_current_recession,current_recession,0,expanded_holdout,detect,2,2020-03-01,2020-04-01,,False,,lag,False,False,0.37312084404193474,0,0
regularized_logit_within_12m,within_12m,12,expanded_dynamic_holdout,forecast,1,2020-03-01,2020-04-01,,False,,lead,False,False,0.19698351608322875,0,0
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,forecast,1,2020-03-01,2020-04-01,,False,,lead,False,False,0.02993442596174098,0,0
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,forecast,1,2020-03-01,2020-04-01,,False,,lead,False,False,0.0742186422388868,0,0
