feature,coefficient,model_name,target_name,data_mode,status,skip_reason,selected,member_name,weight
intercept,-46.166786355771855,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
term_spread,-1.6958927704663302,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
DTB3,-3.0739230282118144,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
BAMLH0A0HYM2,9.01272290961151,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
sahm_gap,-4.629065680419576,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
UNRATE,-7.021688343772137,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
PAYEMS_growth_3m_ann,-3.0844852598773174,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
AMTMNO_change_3m,1.81344490469818,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
US_OECD_CLI_growth_3m,-15.589215677178125,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
equity_drawdown_6m,-2.1824338148478506,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
calibration_status,identity_insufficient_classes,multivariate_logit_within_3m,within_3m,realtime,ok,,,,
intercept,-35.16941898186518,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
term_spread,-6.678235498481546,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
DTB3,4.18972095911655,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
BAMLH0A0HYM2,7.4669277007607535,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
sahm_gap,-2.2870640131329103,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
UNRATE,-4.917812443500136,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
PAYEMS_growth_3m_ann,-7.137418430158926,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
AMTMNO_change_3m,-4.6831377266047145,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
US_OECD_CLI_growth_3m,-6.541276768697203,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
equity_drawdown_6m,-3.4815412406053037,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
calibration_status,identity_insufficient_classes,multivariate_logit_within_6m,within_6m,realtime,ok,,,,
intercept,-40.86245287771476,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
term_spread,-8.770653968838747,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
DTB3,14.17387857024805,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
BAMLH0A0HYM2,14.750313359868672,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
sahm_gap,-3.264125765719305,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
UNRATE,-15.626579168257805,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
PAYEMS_growth_3m_ann,-4.63387399313009,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
AMTMNO_change_3m,2.74931687790513,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
US_OECD_CLI_growth_3m,-5.558043830061014,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
equity_drawdown_6m,-6.980760775989506,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
calibration_status,identity_insufficient_classes,multivariate_logit_within_12m,within_12m,realtime,ok,,,,
intercept,-42.834015796606685,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
term_spread,35.96146256992585,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
DTB3,13.636594660782269,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
BAMLH0A0HYM2,-16.791102710619914,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
sahm_gap,-20.811950268153787,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
UNRATE,-31.056488697906673,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
PAYEMS_growth_3m_ann,-30.291110921933818,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
AMTMNO_change_3m,5.29373307092251,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
US_OECD_CLI_growth_3m,-20.109592617825925,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
equity_drawdown_6m,19.81887968039684,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
calibration_status,identity_insufficient_classes,multivariate_logit_current_recession,current_recession,realtime,ok,,,,
intercept,-3.26543905333536,regularized_logit_within_3m,within_3m,realtime,ok,,True,,
term_spread,-0.0,regularized_logit_within_3m,within_3m,realtime,ok,,False,,
DTB3,0.0,regularized_logit_within_3m,within_3m,realtime,ok,,False,,
BAMLH0A0HYM2,0.0,regularized_logit_within_3m,within_3m,realtime,ok,,False,,
sahm_gap,-0.0,regularized_logit_within_3m,within_3m,realtime,ok,,False,,
UNRATE,-0.0,regularized_logit_within_3m,within_3m,realtime,ok,,False,,
PAYEMS_growth_3m_ann,-0.0,regularized_logit_within_3m,within_3m,realtime,ok,,False,,
AMTMNO_change_3m,-0.0,regularized_logit_within_3m,within_3m,realtime,ok,,False,,
US_OECD_CLI_growth_3m,-0.16486261433815202,regularized_logit_within_3m,within_3m,realtime,ok,,True,,
equity_drawdown_6m,-0.0,regularized_logit_within_3m,within_3m,realtime,ok,,False,,
calibration_status,identity_insufficient_classes,regularized_logit_within_3m,within_3m,realtime,ok,,,,
intercept,-2.81696086005524,regularized_logit_within_6m,within_6m,realtime,ok,,True,,
term_spread,-0.3110380244841321,regularized_logit_within_6m,within_6m,realtime,ok,,True,,
DTB3,0.0,regularized_logit_within_6m,within_6m,realtime,ok,,False,,
BAMLH0A0HYM2,0.1613135636730312,regularized_logit_within_6m,within_6m,realtime,ok,,True,,
sahm_gap,-0.0,regularized_logit_within_6m,within_6m,realtime,ok,,False,,
UNRATE,-0.19792342481815706,regularized_logit_within_6m,within_6m,realtime,ok,,True,,
PAYEMS_growth_3m_ann,-0.0,regularized_logit_within_6m,within_6m,realtime,ok,,False,,
AMTMNO_change_3m,-0.11884200633215772,regularized_logit_within_6m,within_6m,realtime,ok,,True,,
US_OECD_CLI_growth_3m,-0.3255005847367701,regularized_logit_within_6m,within_6m,realtime,ok,,True,,
equity_drawdown_6m,-0.0,regularized_logit_within_6m,within_6m,realtime,ok,,False,,
calibration_status,identity_insufficient_classes,regularized_logit_within_6m,within_6m,realtime,ok,,,,
intercept,-2.327216579099098,regularized_logit_within_12m,within_12m,realtime,ok,,True,,
term_spread,-0.3747586516824114,regularized_logit_within_12m,within_12m,realtime,ok,,True,,
DTB3,0.2676571396713311,regularized_logit_within_12m,within_12m,realtime,ok,,True,,
BAMLH0A0HYM2,0.2920040085188966,regularized_logit_within_12m,within_12m,realtime,ok,,True,,
sahm_gap,-0.0,regularized_logit_within_12m,within_12m,realtime,ok,,False,,
UNRATE,-0.5267919129812513,regularized_logit_within_12m,within_12m,realtime,ok,,True,,
PAYEMS_growth_3m_ann,-0.0,regularized_logit_within_12m,within_12m,realtime,ok,,False,,
AMTMNO_change_3m,-0.0,regularized_logit_within_12m,within_12m,realtime,ok,,False,,
US_OECD_CLI_growth_3m,-0.260521975321203,regularized_logit_within_12m,within_12m,realtime,ok,,True,,
equity_drawdown_6m,-0.0,regularized_logit_within_12m,within_12m,realtime,ok,,False,,
calibration_status,identity_insufficient_classes,regularized_logit_within_12m,within_12m,realtime,ok,,,,
intercept,-2.510552685437868,regularized_logit_current_recession,current_recession,realtime,ok,,True,,
term_spread,-0.0,regularized_logit_current_recession,current_recession,realtime,ok,,False,,
DTB3,0.0,regularized_logit_current_recession,current_recession,realtime,ok,,False,,
BAMLH0A0HYM2,0.27119011374316243,regularized_logit_current_recession,current_recession,realtime,ok,,True,,
sahm_gap,0.0,regularized_logit_current_recession,current_recession,realtime,ok,,False,,
UNRATE,-0.06488986095457253,regularized_logit_current_recession,current_recession,realtime,ok,,True,,
PAYEMS_growth_3m_ann,-0.11794417690944543,regularized_logit_current_recession,current_recession,realtime,ok,,True,,
AMTMNO_change_3m,-0.30238020093947987,regularized_logit_current_recession,current_recession,realtime,ok,,True,,
US_OECD_CLI_growth_3m,-0.09138647657513713,regularized_logit_current_recession,current_recession,realtime,ok,,True,,
equity_drawdown_6m,0.0,regularized_logit_current_recession,current_recession,realtime,ok,,False,,
calibration_status,identity_insufficient_classes,regularized_logit_current_recession,current_recession,realtime,ok,,,,
,,ensemble_current_recession,current_recession,realtime,ok,,,multivariate_logit_current_recession,0.5
,,ensemble_current_recession,current_recession,realtime,ok,,,regularized_logit_current_recession,0.5
calibration_status,identity_insufficient_classes,ensemble_current_recession,current_recession,realtime,ok,,,,
