model_name,target_name,horizon,split_name,event_mode,episode_number,episode_start,episode_end,first_warning_date,hit,timing_months,timing_type,flagged_3m_ahead,flagged_6m_ahead,max_score_in_window,false_alarm_months_before_episode,false_alarm_streak_before_episode
ensemble_current_recession,current_recession,0,expanded_holdout,detect,1,2008-01-01,2009-06-01,2008-04-01,True,3.0,lag,False,False,0.9678230356423292,0,0
ensemble_current_recession,current_recession,0,expanded_holdout,detect,2,2020-03-01,2020-04-01,2020-04-01,True,1.0,lag,False,False,0.5460133957113821,4,4
multivariate_logit_current_recession,current_recession,0,expanded_holdout,detect,1,2008-01-01,2009-06-01,2008-03-01,True,2.0,lag,False,False,1.0,0,0
multivariate_logit_current_recession,current_recession,0,expanded_holdout,detect,2,2020-03-01,2020-04-01,2020-04-01,True,1.0,lag,False,False,0.9999999999793667,4,4
multivariate_logit_within_12m,within_12m,12,expanded_holdout,forecast,1,2008-01-01,2009-06-01,,False,,lead,False,False,1.7604721904357714e-06,0,0
multivariate_logit_within_12m,within_12m,12,expanded_holdout,forecast,2,2020-03-01,2020-04-01,,False,,lead,False,False,9.107517983640674e-05,0,0
multivariate_logit_within_3m,within_3m,3,expanded_holdout,forecast,1,2008-01-01,2009-06-01,,False,,lead,False,False,1.3807759191028466e-14,0,0
multivariate_logit_within_3m,within_3m,3,expanded_holdout,forecast,2,2020-03-01,2020-04-01,,False,,lead,False,False,1.9358048508576558e-10,0,0
multivariate_logit_within_6m,within_6m,6,expanded_holdout,forecast,1,2008-01-01,2009-06-01,,False,,lead,False,False,1.050754722946143e-09,0,0
multivariate_logit_within_6m,within_6m,6,expanded_holdout,forecast,2,2020-03-01,2020-04-01,,False,,lead,False,False,0.1450363120569895,0,0
regularized_logit_current_recession,current_recession,0,expanded_holdout,detect,1,2008-01-01,2009-06-01,2008-12-01,True,11.0,lag,False,False,0.9539514279156072,0,0
regularized_logit_current_recession,current_recession,0,expanded_holdout,detect,2,2020-03-01,2020-04-01,,False,,lag,False,False,0.0920267914433975,1,1
regularized_logit_within_12m,within_12m,12,expanded_holdout,forecast,1,2008-01-01,2009-06-01,,False,,lead,False,False,0.186469656416554,0,0
regularized_logit_within_12m,within_12m,12,expanded_holdout,forecast,2,2020-03-01,2020-04-01,,False,,lead,False,False,0.295236152455888,0,0
regularized_logit_within_3m,within_3m,3,expanded_holdout,forecast,1,2008-01-01,2009-06-01,,False,,lead,False,False,0.040048895632351277,0,0
regularized_logit_within_3m,within_3m,3,expanded_holdout,forecast,2,2020-03-01,2020-04-01,,False,,lead,False,False,0.03941715137048199,0,0
regularized_logit_within_6m,within_6m,6,expanded_holdout,forecast,1,2008-01-01,2009-06-01,,False,,lead,False,False,0.08684390229422831,0,0
regularized_logit_within_6m,within_6m,6,expanded_holdout,forecast,2,2020-03-01,2020-04-01,,False,,lead,False,False,0.20423929963507784,0,0
