model_name,target_name,horizon,split_name,test_start,auc,precision,recall,f1,false_positive_months,brier_score,ece,event_hit_rate,median_timing_months,average_timing_months,flagged_3m_ahead_share,flagged_6m_ahead_share,episode_recall,max_false_alarm_streak,event_hits,n_events,threshold
ensemble_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.6538647342995169,0.12844036697247707,0.7,0.2170542635658915,95,0.15195869840078738,0.21780146121186958,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2,0.15
ensemble_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.6538647342995169,0.12121212121212122,0.6,0.20168067226890757,87,0.15195869840078738,0.21780146121186958,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2,0.25
ensemble_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.6538647342995169,0.07608695652173914,0.35,0.125,85,0.15195869840078738,0.21780146121186958,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2,0.35
ensemble_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.6538647342995169,0.060240963855421686,0.25,0.09708737864077671,78,0.15195869840078738,0.21780146121186958,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2,0.5
ensemble_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5892857142857143,0.13953488372093023,1.0,0.24489795918367346,74,0.26711530106317377,0.37288475571781404,1.0,12.0,12.0,1.0,1.0,1.0,48,1,1,0.15
ensemble_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5892857142857143,0.14814814814814814,1.0,0.25806451612903225,69,0.26711530106317377,0.37288475571781404,1.0,12.0,12.0,1.0,1.0,1.0,43,1,1,0.25
ensemble_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5892857142857143,0.16216216216216217,1.0,0.27906976744186046,62,0.26711530106317377,0.37288475571781404,1.0,12.0,12.0,1.0,1.0,1.0,42,1,1,0.35
ensemble_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5892857142857143,0.16901408450704225,1.0,0.2891566265060241,59,0.26711530106317377,0.37288475571781404,1.0,12.0,12.0,1.0,1.0,1.0,41,1,1,0.5
ensemble_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.05357142857142857,1.0,0.10169491525423728,53,0.1025483500115892,0.22648880940772226,1.0,3.0,3.0,1.0,0.0,1.0,30,1,1,0.15
ensemble_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.058823529411764705,1.0,0.1111111111111111,48,0.1025483500115892,0.22648880940772226,1.0,3.0,3.0,1.0,0.0,1.0,24,1,1,0.25
ensemble_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.07317073170731707,1.0,0.13636363636363635,38,0.1025483500115892,0.22648880940772226,1.0,3.0,3.0,1.0,0.0,1.0,11,1,1,0.35
ensemble_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.0,0.0,0.0,10,0.1025483500115892,0.22648880940772226,0.0,,,0.0,0.0,0.0,10,0,1,0.5
ensemble_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.6129629629629629,0.09375,1.0,0.17142857142857143,58,0.14609328461912527,0.2591728094804545,1.0,6.0,6.0,1.0,1.0,1.0,36,1,1,0.15
ensemble_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.6129629629629629,0.10714285714285714,1.0,0.19354838709677416,50,0.14609328461912527,0.2591728094804545,1.0,6.0,6.0,1.0,1.0,1.0,30,1,1,0.25
